ID,ID.side,Sex,Sex1,YEAR1,YEARLAST,ANIMAL_YRS,N
1,1-LEFT,MaleM,UNK,1989,2003,14,30
1,1-RIGHT,MaleM,UNK,1989,2003,14,26
10,10-LEFT,MaleM,UNK,1989,2011,22,17
10,10-RIGHT,MaleM,UNK,1989,2002,13,19
100,100-RIGHT,UNK,UNK,1989,1989,0,2
1000,1000-RIGHT,FemaleJ,Female,1996,1997,1,4
1007,1007-RIGHT,UNK,UNK,1996,1996,0,1
1009,1009-LEFT,UNK,UNK,1996,1996,0,4
1009,1009-RIGHT,UNK,UNK,1996,1996,0,2
101,101-LEFT,MaleM,UNK,1989,1990,1,5
101,101-RIGHT,MaleM,UNK,1990,1990,0,4
1016,1016-LEFT,UNK,UNK,1996,1996,0,2
1019,1019-LEFT,UNK,UNK,1996,2002,6,12
1019,1019-RIGHT,UNK,UNK,1996,2002,6,11
102,102-LEFT,Female,UNK,1989,2019,30,3
102,102-LEFT,MaleM,Male,1989,2019,30,48
102,102-RIGHT,Female,UNK,1990,2019,29,3
102,102-RIGHT,MaleM,Male,1990,2019,29,37
1020,1020-LEFT,UNK,UNK,1996,1997,1,6
1022,1022-RIGHT,UNK,UNK,1996,1999,3,7
1023,1023-LEFT,UNK,UNK,1996,1996,0,3
1023,1023-RIGHT,UNK,UNK,1996,1996,0,3
1025,1025-LEFT,UNK,UNK,1996,2010,14,6
1025,1025-RIGHT,UNK,UNK,1996,1996,0,3
1030,1030-RIGHT,UNK,UNK,1996,1996,0,4
1032,1032-RIGHT,UNK,UNK,1996,1996,0,3
104,104-RIGHT,UNK,UNK,1989,1990,1,6
1040,1040-LEFT,UNK,UNK,1996,1999,3,6
1040,1040-RIGHT,UNK,UNK,1996,1999,3,6
1042,1042-LEFT,UNK,UNK,1996,1997,1,5
1043,1043-RIGHT,UNK,UNK,1996,1996,0,3
1045,1045-LEFT,UNK,UNK,1996,1996,0,3
1045,1045-RIGHT,UNK,UNK,1996,1996,0,4
1046,1046-LEFT,UNK,UNK,1996,1997,1,7
1047,1047-LEFT,UNK,UNK,1996,1996,0,3
105,105-LEFT,UNK,UNK,1989,1990,1,3
1054,1054-RIGHT,UNK,UNK,1996,1996,0,2
1057,1057-RIGHT,UNK,UNK,1996,1996,0,2
1058,1058-RIGHT,UNK,UNK,1996,1996,0,5
1059,1059-RIGHT,UNK,UNK,1996,1996,0,1
106,106-LEFT,UNK,UNK,1989,1990,1,4
106,106-RIGHT,UNK,UNK,1989,1990,1,7
1062,1062-LEFT,UNK,UNK,1996,1996,0,6
1063,1063-LEFT,UNK,UNK,1996,1996,0,3
1063,1063-RIGHT,UNK,UNK,1996,1997,1,8
1066,1066-RIGHT,UNK,UNK,1996,1996,0,2
1068,1068-LEFT,UNK,UNK,1996,1996,0,2
1069,1069-LEFT,UNK,UNK,1996,1997,1,4
1072,1072-RIGHT,UNK,UNK,1996,1996,0,8
1081,1081-LEFT,UNK,UNK,1996,1996,0,4
1081,1081-RIGHT,UNK,UNK,1996,1996,0,3
1093,1093-LEFT,UNK,UNK,1996,1996,0,3
1094,1094-RIGHT,UNK,UNK,1996,1997,1,5
1097,1097-LEFT,UNK,UNK,1996,1996,0,2
1100,1100-LEFT,UNK,UNK,1996,1996,0,3
1109,1109-LEFT,UNK,UNK,1996,1996,0,2
111,111-RIGHT,UNK,UNK,1989,1989,0,1
1110,1110-RIGHT,UNK,UNK,1996,1996,0,2
1114,1114-LEFT,MaleM,UNK,1996,2008,12,8
1114,1114-RIGHT,MaleM,UNK,1996,2008,12,9
1116,1116-LEFT,UNK,UNK,1996,1996,0,3
1121,1121-RIGHT,UNK,UNK,1996,1996,0,2
1123,1123-LEFT,MaleM,UNK,1996,1996,0,2
1124,1124-LEFT,UNK,UNK,1996,1996,0,2
1126,1126-RIGHT,UNK,UNK,1996,1996,0,1
1130,1130-LEFT,UNK,UNK,1996,1996,0,1
1134,1134-RIGHT,MaleM,UNK,1996,1996,0,2
1136,1136-RIGHT,UNK,UNK,1996,1996,0,2
1140,1140-RIGHT,UNK,UNK,1996,1996,0,1
1142,1142-LEFT,UNK,UNK,1996,1996,0,4
1146,1146-LEFT,UNK,UNK,1997,1999,2,8
1146,1146-RIGHT,UNK,UNK,1997,1998,1,7
1147,1147-LEFT,UNK,UNK,1996,2015,19,18
1147,1147-RIGHT,UNK,UNK,1996,2010,14,18
