Idx,Description of Problems/Changes,Fixed?,Related IDs,Type of error,Link_ID
143,1996 wrongly ID'ed; new IDs made,Y,"WR004_1996SS, WL002_1996SS",FP/ Type I,143
267,1996 and 97 wrongly ID'ed; new IDs made,Y,"WR001_1996SS, WL003_1996SS",FP/ Type I,267
3070,duplicate; moved to original ID,Y,952,FN/ Type II,952
4110,duplicate; moved to original ID,Y,952,FN/ Type II,952
3043,duplicate; moved to original ID,Y,54,FN/ Type II,54
3033,duplicate; moved to original ID,Y,1757,FN/ Type II,1757
2228,duplicate; moved to original ID,Y,2023,FN/ Type II,2023
3110,duplicate; moved to original ID,Y,1904,FN/ Type II,1904
3078,duplicate; moved to original ID,Y,3047,FN/ Type II,3047
71,duplicate; moved to original ID,Y,18,FN/ Type II,18
79,duplicate; moved to original ID,Y,39,FN/ Type II,39
246,duplicate; moved to original ID,Y,57,FN/ Type II,57
294,duplicate; moved to original ID,Y,235,FN/ Type II,235
400,duplicate; moved to original ID,Y,407,FN/ Type II,407
492,duplicate; moved to original ID,Y,57,FN/ Type II,57
502,duplicate; moved to original ID,Y,18,FN/ Type II,18
568,duplicate; moved to original ID,Y,101,FN/ Type II,101
651,duplicate; moved to original ID,Y,653,FN/ Type II,653
672,duplicate; moved to original ID,Y,531,FN/ Type II,531
919,duplicate; moved to original ID,Y,32,FN/ Type II,32
964,duplicate; moved to original ID,Y,57,FN/ Type II,57
1039,duplicate; moved to original ID,Y,413,FN/ Type II,413
1144,duplicate; moved to original ID,Y,649,FN/ Type II,649
1350,duplicate; moved to original ID,Y,1307,FN/ Type II,1307
1643,duplicate; moved to original ID,Y,2102,FN/ Type II,2102
1923,duplicate; moved to original ID,Y,649,FN/ Type II,649
2066,duplicate; moved to original ID,Y,1143,FN/ Type II,1143
4101,duplicate; moved to original ID,Y,3092,FN/ Type II,3092
4205,duplicate; moved to original ID,Y,1114,FN/ Type II,1114
3082,right side duplicate; moved to original ID,Y,4103,FN/ Type II,4103
3083,right side duplicate; moved to original ID,Y,3087,FN/ Type II,3087
1157,duplicate; moved to original ID,Y,1147,FN/ Type II,1147
1966,right side duplicate; moved to original ID,Y,1967,FN/ Type II,1967
1211,duplicate; moved to original ID,Y,606,FN/ Type II,606
3096,duplicate; moved to original ID,Y,2095,FN/ Type II,2095
1111,duplicate; moved to original ID,Y,54,FN/ Type II,54
681,duplicate; moved to original ID,Y,54,FN/ Type II,54
2082,duplicate; moved to original ID,Y,1147,FN/ Type II,1147
1181,duplicate; moved to original ID,Y,151,FN/ Type II,151
649,left side duplicate; moved to original ID,Y,151,FN/ Type II,151
3040,left side duplicate; moved to original ID,Y,3024,FN/ Type II,3024
399,"1997 photos wrongly ID'ed, moved to new ID",Y,"WR001_1997SS, WL001_1997SS",FP/ Type I,399
805,wrongly ID'ed photos,Y,549,FP/ Type I,549
961,wrongly ID'ed photos,Y,WL001_1999SS,FP/ Type I,961
1212,wrongly ID'ed photos,Y,28,FP/ Type I,28
2056,wrongly ID'ed photos,Y,549,FP/ Type I,2056
6204,duplicate; moved to original ID,Y,2048,FN/ Type II,2048
6157,duplicate; moved to original ID,Y,5092,FN/ Type II,5092
6456,duplicate; moved to original ID,Y,6428,FN/ Type II,6428
6424,duplicate; moved to original ID,Y,6416,FN/ Type II,6416
