Sex1,Date,YEAR,side,Location,ID,QRATE,Date1,Date2,Month,Month1
Female,1988-07-28,1988,Left,Gully,242,3,1988-07-28,1988-07-28,7,Jul
Female,1988-07-28,1988,Left,Gully,242,3,1988-07-28,1988-07-28,7,Jul
UNK,1988-07-28,1988,Left,Gully,244,3,1988-07-28,1988-07-28,7,Jul
Female,1988-07-28,1988,Left,Gully,242,3,1988-07-28,1988-07-28,7,Jul
UNK,1988-07-28,1988,Left,Gully,244,3,1988-07-28,1988-07-28,7,Jul
Female,1988-07-28,1988,Left,Gully,242,3,1988-07-28,1988-07-28,7,Jul
UNK,1988-07-28,1988,Left,Gully,78,3,1988-07-28,1988-07-28,7,Jul
UNK,1988-07-28,1988,Left,Gully,78,3,1988-07-28,1988-07-28,7,Jul
UNK,1988-07-28,1988,Left,Gully,78,3,1988-07-28,1988-07-28,7,Jul
UNK,1988-07-28,1988,Right,Gully,245,3,1988-07-28,1988-07-28,7,Jul
MM,1988-08-01,1988,Right,Gully,37,3,1988-08-01,1988-08-01,8,Aug
MM,1988-08-01,1988,Right,Gully,37,3,1988-08-01,1988-08-01,8,Aug
MM,1988-08-01,1988,Right,Gully,37,3,1988-08-01,1988-08-01,8,Aug
UNK,1988-08-01,1988,Right,Gully,250,3,1988-08-01,1988-08-01,8,Aug
UNK,1988-08-01,1988,Right,Gully,250,3,1988-08-01,1988-08-01,8,Aug
Female,1988-08-01,1988,Right,Gully,251,3,1988-08-01,1988-08-01,8,Aug
Female,1988-08-01,1988,Right,Gully,251,3,1988-08-01,1988-08-01,8,Aug
Female,1988-08-01,1988,Right,Gully,251,3,1988-08-01,1988-08-01,8,Aug
Female,1988-08-01,1988,Right,Gully,251,3,1988-08-01,1988-08-01,8,Aug
Female,1988-08-01,1988,Right,Gully,251,3,1988-08-01,1988-08-01,8,Aug
UNK,1988-08-01,1988,Right,Gully,250,3,1988-08-01,1988-08-01,8,Aug
Male,1988-08-01,1988,Left,Gully,3,3,1988-08-01,1988-08-01,8,Aug
Male,1988-08-01,1988,Left,Gully,3,3,1988-08-01,1988-08-01,8,Aug
UNK,1988-08-01,1988,Left,Gully,223,3,1988-08-01,1988-08-01,8,Aug
UNK,1988-08-01,1988,Left,Gully,43,3,1988-08-01,1988-08-01,8,Aug
Male,1988-08-01,1988,Right,Gully,3,3,1988-08-01,1988-08-01,8,Aug
Male,1988-08-01,1988,Right,Gully,3,3,1988-08-01,1988-08-01,8,Aug
MM,1989-07-23,1989,Left,Gully,1,3,1989-07-23,1989-07-23,7,Jul
MM,1989-07-23,1989,Left,Gully,1,3,1989-07-23,1989-07-23,7,Jul
Male,1989-07-23,1989,Left,Gully,3,3,1989-07-23,1989-07-23,7,Jul
Male,1989-07-23,1989,Left,Gully,3,4,1989-07-23,1989-07-23,7,Jul
Male,1989-07-23,1989,Left,Gully,3,3,1989-07-23,1989-07-23,7,Jul
Male,1989-07-23,1989,Left,Gully,3,3,1989-07-23,1989-07-23,7,Jul
Male,1989-07-23,1989,Left,Gully,3,3,1989-07-23,1989-07-23,7,Jul
UNK,1989-07-23,1989,Left,Gully,2,3,1989-07-23,1989-07-23,7,Jul
UNK,1989-07-23,1989,Left,Gully,2,4,1989-07-23,1989-07-23,7,Jul
Male,1989-07-23,1989,Left,Gully,3,3,1989-07-23,1989-07-23,7,Jul
MM,1989-07-23,1989,Left,Gully,1,3,1989-07-23,1989-07-23,7,Jul
MM,1989-07-23,1989,Left,Gully,1,3,1989-07-23,1989-07-23,7,Jul
UNK,1989-07-23,1989,Left,Gully,2,3,1989-07-23,1989-07-23,7,Jul
UNK,1989-07-23,1989,Left,Gully,2,3,1989-07-23,1989-07-23,7,Jul
UNK,1989-07-23,1989,Right,Gully,2,4,1989-07-23,1989-07-23,7,Jul
UNK,1989-07-23,1989,Left,Gully,5,3,1989-07-23,1989-07-23,7,Jul
UNK,1989-07-23,1989,Right,Gully,5,3,1989-07-23,1989-07-23,7,Jul
UNK,1989-07-23,1989,Right,Gully,8,3,1989-07-23,1989-07-23,7,Jul
UNK,1989-07-23,1989,Right,Gully,5,3,1989-07-23,1989-07-23,7,Jul
UNK,1989-07-23,1989,Right,Gully,8,3,1989-07-23,1989-07-23,7,Jul
UNK,1989-07-23,1989,Right,Gully,8,3,1989-07-23,1989-07-23,7,Jul
UNK,1989-07-23,1989,Right,Gully,8,3,1989-07-23,1989-07-23,7,Jul
UNK,1989-07-23,1989,Right,Gully,5,3,1989-07-23,1989-07-23,7,Jul
UNK,1989-07-23,1989,Left,Gully,6,3,1989-07-23,1989-07-23,7,Jul
UNK,1989-07-23,1989,Left,Gully,6,3,1989-07-23,1989-07-23,7,Jul
MM,1989-07-24,1989,Right,Gully,10,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Right,Gully,10,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Left,Gully,10,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,6,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Left,Gully,10,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,8,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Right,Gully,10,4,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,8,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,8,3,1989-07-24,1989-07-24,7,Jul
