Error type,Issue or photo,Number of photos affected,Current ID,New ID,Error Type,,,,,
2,Duplicate,3,681,54,FN/ Type II,,,,,
2,Duplicate,4,1111,54,FN/ Type II,,,,,
2,Duplicate,2,1181,151,FN/ Type II,,,,,
2,Duplicate,4,1211,606,FN/ Type II,,,,,
2,Duplicate,22,2082,1147,FN/ Type II,,,,,
2,duplicate,5,2228,2023,FN/ Type II,,,,,
2,duplicate,32,3033,1757,FN/ Type II,,,,,
2,duplicate,3,3043,54,FN/ Type II,,,,,
2,duplicate,3,3070,952,FN/ Type II,,,,,
2,duplicate,2,3078,3047,FN/ Type II,,,,,
2,Duplicate,4,3096,2095,FN/ Type II,,,,,
2,duplicate,1,3110,1904,FN/ Type II,,,,,
2,duplicate,2,4110,952,FN/ Type II,,,,,
2,duplicate,24,5064,4114,FN/ Type II,,,,,
2,duplicate,1,1927,1313,FN/ Type II,,,,,
2,duplicate,13,1734,1313,FN/ Type II,,,,,
2,duplicate,5,1064,303,FN/ Type II,,,,,
2,duplicate,6,2045,1946,FN/ Type II,,,,,
2,duplicate,1,1675,1146,FN/ Type II,,,,,
2,duplicate,19,2095,1458,FN/ Type II,,,,,
2,duplicate,11,3047,832,FN/ Type II,,,,,
2,duplicate,5,2062,1062,FN/ Type II,,,,,
2,duplicate,5,wl003_1999,9911,FN/ Type II,,,,,
2,duplicate,7,WL001_1997,162,FN/ Type II,,,,,
2,duplicate,12,646,5,FN/ Type II,,,,,
2,duplicate,51,225,92,FN/ Type II,,,,,
2,duplicate,32,WR001_1996SS,1063,FN/ Type II,,,,,
2,duplicate,12,1149,832,FN/ Type II,,,,,
2,duplicate,2,1191,1173,FN/ Type II,,,,,
2,duplicate,1,1225,1219,FN/ Type II,,,,,
2,duplicate,11,1418,1358,FN/ Type II,,,,,
2,duplicate,7,1792,1173,FN/ Type II,,,,,
2,duplicate,1,2213,2202,FN/ Type II,,,,,
2,duplicate,2,2225,2102,FN/ Type II,,,,,
2,duplicate,2,2227,1470,FN/ Type II,,,,,
2,duplicate,3,190,189,FN/ Type II,,,,,
2,duplicate,18,5064,4114,FN/ Type II,,,,,
2,duplicate,2,1906,1676,FN/ Type II,,,,,
2,duplicate,6,5152,5053,FN/ Type II,,,,,
2,duplicate,2,WR002_1996SS,1335,FN/ Type II,,,,,
2,Duplicate (left side),8,649,151,FN/ Type II,,,,,
2,Duplicate (left side),1,3040,3024,FN/ Type II,,,,,
2,Duplicate (left side),9,186,2023,FN/ Type II,,,,,
2,duplicate ID,1,71,18,FN/ Type II,,,,,
2,duplicate ID,1,79,39,FN/ Type II,,,,,
2,duplicate ID,1,246,57,FN/ Type II,,,,,
2,duplicate ID,1,294,235,FN/ Type II,,,,,
2,duplicate ID,1,400,407,FN/ Type II,,,,,
2,duplicate ID,1,492,57,FN/ Type II,,,,,
2,duplicate ID,1,502,18,FN/ Type II,,,,,
2,duplicate ID,1,568,101,FN/ Type II,,,,,
2,duplicate ID,1,651,653,FN/ Type II,,,,,
2,duplicate ID,1,672,531,FN/ Type II,,,,,
2,duplicate ID,1,919,32,FN/ Type II,,,,,
2,duplicate ID,1,964,57,FN/ Type II,,,,,
2,duplicate ID,1,1039,413,FN/ Type II,,,,,
2,duplicate ID,1,1144,649,FN/ Type II,,,,,
2,duplicate ID,1,1350,1307,FN/ Type II,,,,,
2,duplicate ID,1,1643,2102,FN/ Type II,,,,,
2,duplicate ID,1,1923,649,FN/ Type II,,,,,
2,duplicate ID,1,2066,1143,FN/ Type II,,,,,
2,duplicate ID,1,4101,3092,FN/ Type II,,,,,
2,duplicate ID,1,4205,1114,FN/ Type II,,,,,
2,duplicate ID (right side only),1,3082,4103,FN/ Type II,,,,,
2,duplicate ID (rights only),12,3083,3087,FN/ Type II,,,,,
2,duplicate IDs,62,1157,1147,FN/ Type II,,,,,
1,ID 1966 right side,6,1966,1967,FP/ Type I,,,,,
1,NBWPhoto_1998_BA2_35.jpg,1,unk,118,FP/ Type I,,,,,
1,NBWPhoto_2006_MPA04_02.jpg,1,unk,3087,FP/ Type I,,,,,
1,NBWPhoto_2006_MPA04_17.jpg,1,3016,3014,FP/ Type I,,,,,
1,NBWPhoto_2006_MPA05_27.jpg,1,74,3024,FP/ Type I,,,,,
1,NBWphotos_1989_GU30_17,1,2112,2,FP/ Type I,,,,,
1,NBWphotos_1989_GU30_22.jpg,1,28,116,FP/ Type I,,,,,
1,NBWphotos_1989_GU30_27.jpg,1,28,116,FP/ Type I,,,,,
1,NBWphotos_1989_GU30_28.jpg,1,106,28,FP/ Type I,,,,,
1,NBWphotos_1989_GU37_08.jpg,1,37,124,FP/ Type I,,,,,
1,NBWphotos_1989_GU5_18,1,3,1,FP/ Type I,,,,,
1,NBWphotos_1989_GU50_30.jpg,1,76,190,FP/ Type I,,,,,
1,NBWphotos_1989_GU50_31.jpg,1,192,76,FP/ Type I,,,,,
1,NBWphotos_1989_GU50_32.jpg,1,76,190,FP/ Type I,,,,,
1,NBWphotos_1989_GU60_01,1,217,5,FP/ Type I,,,,,
1,NBWphotos_1989_GU9_22B.jpg,1,unk,13,FP/ Type I,,,,,
1,NBWphotos_1989_GU9_23B.jpg,1,unk,13,FP/ Type I,,,,,
1,NBWphotos_1990_ID109_23.jpg,1,unk,477,FP/ Type I,,,,,
1,NBWphotos_1990_ID121_35.jpg,1,404,494,FP/ Type I,,,,,
1,NBWphotos_1990_ID138_05.jpg,1,551,59,FP/ Type I,,,,,
1,NBWphotos_1990_ID28_26.jpg,1,337,331,FP/ Type I,,,,,
1,NBWphotos_1990_ID29_03.jpg,1,333,332,FP/ Type I,,,,,
1,NBWphotos_1990_ID37_35.jpg,1,63,318,FP/ Type I,,,,,
1,NBWphotos_1990_ID44_04.jpg,1,5,102,FP/ Type I,,,,,
1,NBWphotos_1990_ID44_05.jpg,1,102,267,FP/ Type I,,,,,
1,NBWphotos_1990_ID44_08.jpg,1,5,363,FP/ Type I,,,,,
1,NBWphotos_1990_ID44_11.jpg,1,102,267,FP/ Type I,,,,,
1,NBWphotos_1990_ID44_15.jpg,1,102,267,FP/ Type I,,,,,
1,NBWphotos_1990_ID44_17.jpg,1,5,40,FP/ Type I,,,,,
1,NBWphotos_1990_ID44_18.jpg,1,237,9902,FP/ Type I,,,,,
1,NBWphotos_1990_ID44_24.jpg,1,102,273,FP/ Type I,,,,,
1,NBWphotos_1990_ID44_28.jpg,1,unk,102,FP/ Type I,,,,,
1,NBWphotos_1990_ID56_11.jpg,1,213,237,FP/ Type I,,,,,
1,NBWphotos_1990_ID60_06.jpg,1,390,385,FP/ Type I,,,,,
1,NBWphotos_1990_ID60_13.jpg,1,389,385,FP/ Type I,,,,,
1,NBWphotos_1990_ID60_29.jpg,1,389,385,FP/ Type I,,,,,
1,NBWphotos_1990_ID60_33.jpg,1,235,385,FP/ Type I,,,,,
1,NBWphotos_1990_ID60_34.jpg,1,385,384,FP/ Type I,,,,,
1,NBWphotos_1990_ID60_35.jpg,1,235,385,FP/ Type I,,,,,
1,NBWphotos_1990_ID65_02.jpg,1,251,237,FP/ Type I,,,,,
1,NBWphotos_1990_ID70_04.jpg,1,399,57,FP/ Type I,,,,,
1,NBWphotos_1990_ID76_06A.jpg,1,413,51,FP/ Type I,,,,,
1,NBWphotos_1990_ID8_22.jpg,1,281,282,FP/ Type I,,,,,
1,NBWphotos_1990_ID8_24.jpg,1,281,282,FP/ Type I,,,,,
1,NBWphotos_1990_ID8_33.jpg,1,283,285,FP/ Type I,,,,,
1,NBWphotos_1990_ID83_10.jpg,1,102,152,FP/ Type I,,,,,
1,NBWphotos_1990_ID96_26.jpg,1,445,432,FP/ Type I,,,,,
1,NBWphotos_1990_ID98_34.jpg,1,431,432,FP/ Type I,,,,,
1,NBWphotos_1990_ID98_36.jpg,1,431,432,FP/ Type I,,,,,
1,NBWphotos_1990_ID99_00.jpg,1,1,13,FP/ Type I,,,,,
1,NBWphotos_1991_DI3_13.jpg,1,314,418,FP/ Type I,,,,,
1,NBWphotos_1993_UG10_14.jpg,1,251,317,FP/ Type I,,,,,
1,NBWphotos_1993_UG14_16.jpg,1,409,633,FP/ Type I,,,,,
1,NBWphotos_1993_UG16_08.jpg,1,670,433,FP/ Type I,,,,,
1,NBWphotos_1993_UG24_32.jpg,1,688,433,FP/ Type I,,,,,
1,NBWphotos_1993_UG24_33.jpg,1,688,433,FP/ Type I,,,,,
1,NBWphotos_1993_UG26_24.jpg,1,646,433,FP/ Type I,,,,,
1,NBWphotos_1993_UG6_21.jpg,1,633,635,FP/ Type I,,,,,
1,NBWphotos_1993_UG6_22.jpg,1,100,633,FP/ Type I,,,,,
1,NBWphotos_1993_UG6_29.jpg,1,100,635,FP/ Type I,,,,,
1,NBWphotos_1993_UG7_06.jpg,1,100,635,FP/ Type I,,,,,
1,NBWphotos_1993_UG7_08.jpg,1,100,635,FP/ Type I,,,,,
1,NBWphotos_1993_UG7_13.jpg,1,100,635,FP/ Type I,,,,,
1,NBWphotos_1993_UG7_17.jpg,1,100,635,FP/ Type I,,,,,
1,NBWphotos_1993_UG7_22.jpg,1,633,635,FP/ Type I,,,,,
1,NBWphotos_1993_UG8_26.jpg,1,100,635,FP/ Type I,,,,,
1,NBWphotos_1994_GX1_30.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1994_GX10_12.jpg,1,251,1336,FP/ Type I,,,,,
1,NBWphotos_1994_GX10_18.jpg,1,251,1336,FP/ Type I,,,,,
1,NBWphotos_1994_GX14_34.jpg,1,871,251,FP/ Type I,,,,,
1,NBWphotos_1994_GX15_28.jpg,1,871,1336,FP/ Type I,,,,,
1,NBWphotos_1994_GX16_16.jpg,1,unk,1336,FP/ Type I,,,,,
1,NBWphotos_1994_GX17_09.jpg,1,251,1336,FP/ Type I,,,,,
1,NBWphotos_1994_GX23_19.jpg,1,unk,907,FP/ Type I,,,,,
1,NBWphotos_1994_GX25_28.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1994_GX25_29.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1994_GX26_00.jpg,1,18,124,FP/ Type I,,,,,
1,NBWphotos_1994_GX26_04.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1994_GX26_08.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1994_GX3_14.jpg,1,818,819,FP/ Type I,,,,,
1,NBWphotos_1994_GX4_05.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1994_GX5_16.jpg,1,828,385,FP/ Type I,,,,,
1,NBWphotos_1995_BW5_32.jpg,1,unk,633,FP/ Type I,,,,,
1,NBWphotos_1996_AA16_32.jpg,1,1046,1040,FP/ Type I,,,,,
1,NBWphotos_1996_AA16_34.jpg,1,1040,1046,FP/ Type I,,,,,
1,NBWphotos_1996_AA6_28.jpg,1,1045,1022,FP/ Type I,,,,,
1,NBWphotos_1996_AB33_09.jpg,1,905,1081,FP/ Type I,,,,,
1,NBWphotos_1996_AB45_28.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1996_AB45_29.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1996_AB45_31.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1996_AB45_32.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1996_AB45_33.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1996_AB46_29.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1996_AB46_31.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1996_AB46_35.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1996_AB47_03.jpg,1,242,45,FP/ Type I,,,,,
1,NBWphotos_1996_AB48_20.jpg,1,1110,57,FP/ Type I,,,,,
1,NBWphotos_1996_AB6_18.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1996_AB6_19.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1996_AB70_16.jpg,1,1157,1142,FP/ Type I,,,,,
1,NBWphotos_1996_AB70_16.jpg,1,1142,1163,FP/ Type I,,,,,
1,NBWphotos_1996_AB70_21.jpg,1,1142,1163,FP/ Type I,,,,,
1,NBWphotos_1996_AB72_19.jpg,1,1142,1163,FP/ Type I,,,,,
1,NBWphotos_1996_AB75_06.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1996_AB76_09.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1996_AB78_02.jpg,1,805,549,FP/ Type I,,,,,
1,NBWphotos_1996_AB8_10.jpg,1,1021,1020,FP/ Type I,,,,,
1,NBWphotos_1996_AB8_11.jpg,1,1021,1020,FP/ Type I,,,,,
1,NBWphotos_1996_AB8_12.jpg,1,1021,1020,FP/ Type I,,,,,
1,NBWphotos_1996_AB8_13.jpg,1,1021,1020,FP/ Type I,,,,,
1,NBWphotos_1996_AB8_14.jpg,1,1021,1020,FP/ Type I,,,,,
1,NBWphotos_1996_AB9_03.jpg,1,1024,1023,FP/ Type I,,,,,
1,NBWphotos_1997_SA2_34.jpg,1,1212,28,FP/ Type I,,,,,
1,NBWphotos_1997_SA2_36.jpg,1,1212,28,FP/ Type I,,,,,
1,NBWphotos_1997_SA3_01.jpg,1,1212,28,FP/ Type I,,,,,
1,NBWphotos_1997_SA3_03.jpg,1,1212,28,FP/ Type I,,,,,
