"QRATE","Date","Date.Original","Location","Latitude","Longitude","side","Reliable","Sex","ID"
3,1988-07-28,"1988-07-28 12:19:00","Gully","43.828333333333","-58.925","Left","No","UNK","242"
3,1988-07-28,"1988-07-28 12:23:00","Gully","43.828333333333","-58.925","Left","No","UNK","242"
3,1988-07-28,"1988-07-28 12:23:00","Gully","43.828333333333","-58.925","Left","No","UNK","244"
3,1988-07-28,"1988-07-28 12:23:00","Gully","43.828333333333","-58.925","Left","No","UNK","242"
3,1988-07-28,"1988-07-28 12:23:00","Gully","43.828333333333","-58.925","Left","No","UNK","244"
3,1988-07-28,"1988-07-28 12:23:00","Gully","43.828333333333","-58.925","Left","No","UNK","242"
3,1988-07-28,"1988-07-28 12:40:00","Gully","43.828333333333","-58.925","Left","No","UNK","78"
3,1988-07-28,"1988-07-28 12:50:00","Gully","43.828333333333","-58.925","Left","No","UNK","78"
3,1988-07-28,"1988-07-28 12:50:00","Gully","43.828333333333","-58.925","Left","No","UNK","78"
3,1988-07-28,"1988-07-28 12:50:00","Gully","43.828333333333","-58.925","Right","No","UNK","245"
3,1988-08-01,"1988-08-01 17:10:00","Gully","43.935","-58.963333333333","Right","Yes","MaleM","37"
3,1988-08-01,"1988-08-01 17:10:00","Gully","43.935","-58.963333333333","Right","Yes","MaleM","37"
3,1988-08-01,"1988-08-01 17:10:00","Gully","43.935","-58.963333333333","Right","Yes","MaleM","37"
3,1988-08-01,"1988-08-01 17:24:00","Gully","43.935","-58.963333333333","Right","No","UNK","250"
3,1988-08-01,"1988-08-01 17:24:00","Gully","43.935","-58.963333333333","Right","No","UNK","250"
3,1988-08-01,"1988-08-01 17:24:00","Gully","43.935","-58.963333333333","Right","Yes","FemaleJ","251"
3,1988-08-01,"1988-08-01 17:24:00","Gully","43.935","-58.963333333333","Right","Yes","FemaleJ","251"
3,1988-08-01,"1988-08-01 17:24:00","Gully","43.935","-58.963333333333","Right","Yes","FemaleJ","251"
3,1988-08-01,"1988-08-01 17:24:00","Gully","43.935","-58.963333333333","Right","Yes","FemaleJ","251"
3,1988-08-01,"1988-08-01 17:24:00","Gully","43.94166667","-58.98","Right","Yes","FemaleJ","251"
3,1988-08-01,"1988-08-01 17:35:00","Gully","43.935","-58.963333333333","Right","No","UNK","250"
3,1988-08-01,"1988-08-01 18:20:00","Gully","43.935","-58.963333333333","Left","Yes","MaleM","3"
3,1988-08-01,"1988-08-01 18:20:00","Gully","43.935","-58.963333333333","Left","Yes","MaleM","3"
3,1988-08-01,"1988-08-01 18:20:00","Gully","43.935","-58.963333333333","Left","Yes","UNK","223"
3,1988-08-01,"1988-08-01 18:20:00","Gully","43.935","-58.963333333333","Left","Yes","UNK","43"
3,1988-08-01,"1988-08-01 18:37:00","Gully","43.935","-58.963333333333","Right","Yes","MaleM","3"
3,1988-08-01,"1988-08-01 18:37:00","Gully","43.935","-58.963333333333","Right","Yes","MaleM","3"
3,1989-07-23,"1989-07-23 11:10:00","Gully","43.828333333333","-58.925","Left","Yes","MaleM","1"
3,1989-07-23,"1989-07-23 11:10:00","Gully","43.828333333333","-58.925","Left","Yes","MaleM","1"
3,1989-07-23,"1989-07-23 11:10:00","Gully","43.828333333333","-58.925","Left","Yes","MaleM","3"
4,1989-07-23,"1989-07-23 11:10:00","Gully","43.828333333333","-58.925","Left","Yes","MaleM","3"
3,1989-07-23,"1989-07-23 11:10:00","Gully","43.828333333333","-58.925","Left","Yes","MaleM","3"
3,1989-07-23,"1989-07-23 11:10:00","Gully","43.828333333333","-58.925","Left","Yes","MaleM","3"
3,1989-07-23,"1989-07-23 11:10:00","Gully","43.828333333333","-58.925","Left","Yes","MaleM","3"
3,1989-07-23,"1989-07-23 11:10:00","Gully","43.828333333333","-58.925","Left","Yes","UNK","2"
4,1989-07-23,"1989-07-23 11:10:00","Gully","43.828333333333","-58.925","Left","Yes","UNK","2"
3,1989-07-23,"1989-07-23 11:10:00","Gully","43.865","-58.93166667","Left","Yes","MaleM","3"
3,1989-07-23,"1989-07-23 11:10:00","Gully","43.828333333333","-58.925","Left","Yes","MaleM","1"
3,1989-07-23,"1989-07-23 11:10:00","Gully","43.828333333333","-58.925","Left","Yes","MaleM","1"
3,1989-07-23,"1989-07-23 11:30:00","Gully","43.828333333333","-58.925","Left","Yes","UNK","2"
3,1989-07-23,"1989-07-23 11:30:00","Gully","43.828333333333","-58.925","Left","Yes","UNK","2"
4,1989-07-23,"1989-07-23 11:30:00","Gully","43.828333333333","-58.925","Right","Yes","UNK","2"
3,1989-07-23,"1989-07-23 12:50:00","Gully","43.828333333333","-58.925","Left","Yes","UNK","5"
3,1989-07-23,"1989-07-23 12:50:00","Gully","43.828333333333","-58.925","Right","Yes","UNK","5"
3,1989-07-23,"1989-07-23 12:50:00","Gully","43.828333333333","-58.925","Right","No","UNK","8"
3,1989-07-23,"1989-07-23 12:50:00","Gully","43.828333333333","-58.925","Right","Yes","UNK","5"
3,1989-07-23,"1989-07-23 12:50:00","Gully","43.828333333333","-58.925","Right","No","UNK","8"
3,1989-07-23,"1989-07-23 12:50:00","Gully","43.828333333333","-58.925","Right","No","UNK","8"
3,1989-07-23,"1989-07-23 12:50:00","Gully","43.828333333333","-58.925","Right","No","UNK","8"
3,1989-07-23,"1989-07-23 12:50:00","Gully","43.828333333333","-58.925","Right","Yes","UNK","5"
3,1989-07-23,"1989-07-23 13:18:00","Gully","43.828333333333","-58.925","Left","No","UNK","6"
3,1989-07-23,"1989-07-23 13:18:00","Gully","43.828333333333","-58.925","Left","No","UNK","6"
3,1989-07-24,"1989-07-24 09:36:00","Gully","43.858333333333","-58.855","Right","Yes","MaleM","10"
3,1989-07-24,"1989-07-24 09:36:00","Gully","43.858333333333","-58.855","Right","Yes","MaleM","10"
3,1989-07-24,"1989-07-24 09:36:00","Gully","43.858333333333","-58.855","Left","Yes","MaleM","10"
3,1989-07-24,"1989-07-24 09:36:00","Gully","43.858333333333","-58.855","Left","No","UNK","6"
3,1989-07-24,"1989-07-24 09:36:00","Gully","43.858333333333","-58.855","Left","Yes","MaleM","10"
3,1989-07-24,"1989-07-24 09:36:00","Gully","43.858333333333","-58.855","Right","No","UNK","8"
