"ID","side","Sex","Year_rel","count"
"1","Left","MaleM",1989,123
"1","Right","MaleM",1989,97
"10","Left","MaleM",1989,62
"10","Right","MaleM",1989,40
"100","Right","UNK",NA,3
"1000","Right","FemaleJ",NA,6
"1007","Right","UNK",NA,1
"1009","Left","UNK",1996,4
"1009","Right","UNK",1996,5
"101","Left","MaleM",1989,8
"101","Right","MaleM",1989,14
"1016","Left","UNK",1996,2
"1019","Left","UNK",1996,45
"1019","Right","UNK",1996,37
"102","Left","MaleM",1993,303
"102","Right","MaleM",1993,158
"1020","Left","UNK",NA,27
"1022","Right","UNK",NA,24
"1023","Left","UNK",NA,3
"1023","Right","UNK",NA,10
"1025","Left","UNK",1996,7
"1025","Right","UNK",1996,5
"1030","Right","UNK",NA,16
"1032","Right","UNK",NA,10
"104","Right","UNK",NA,27
"1040","Left","UNK",NA,30
"1040","Right","UNK",NA,27
"1042","Left","UNK",NA,11
"1043","Right","UNK",NA,9
"1045","Left","UNK",1996,11
"1045","Right","UNK",1996,22
"1046","Left","UNK",NA,40
"1047","Left","UNK",NA,4
"105","Left","UNK",NA,3
"1054","Right","UNK",NA,2
"1057","Right","UNK",NA,2
"1058","Right","UNK",NA,29
"1059","Right","UNK",NA,1
"106","Left","UNK",NA,11
"106","Right","UNK",NA,14
"1062","Left","UNK",1996,27
"1063","Left","UNK",NA,36
"1063","Right","UNK",NA,33
"1066","Right","UNK",NA,4
"1068","Left","UNK",NA,2
"1069","Left","UNK",NA,5
"1072","Right","UNK",NA,22
"1081","Left","UNK",NA,5
"1081","Right","UNK",NA,4
"1093","Left","UNK",NA,6
"1094","Right","UNK",NA,21
"1097","Left","UNK",NA,3
"1100","Left","UNK",NA,7
"1109","Left","UNK",NA,3
"111","Right","UNK",NA,1
"1110","Right","UNK",NA,2
"1114","Left","MaleM",1996,8
"1114","Right","MaleM",1996,12
"1116","Left","UNK",NA,3
"1121","Right","UNK",NA,5
"1123","Left","MaleM",NA,3
"1124","Left","UNK",NA,3
"1126","Right","UNK",NA,1
"1130","Left","UNK",NA,1
"1134","Right","MaleM",NA,2
"1136","Right","UNK",NA,2
"1140","Right","UNK",NA,1
"1142","Left","UNK",NA,10
"1146","Left","UNK",NA,27
"1146","Right","UNK",NA,14
"1147","Left","UNK",2006,64
"1147","Right","UNK",2006,62
"1148","Right","UNK",NA,6
"115","Left","UNK",1989,4
"115","Right","UNK",1989,4
"1152","Right","UNK",NA,2
"1153","Left","UNK",NA,1
"1155","Left","UNK",NA,63
"1155","Right","UNK",NA,47
"1158","Left","UNK",1996,5
"116","Left","UNK",NA,2
"1160","Right","UNK",NA,4
"1163","Left","UNK",NA,4
"1168","Right","UNK",NA,1
"1173","Left","MaleM",NA,12
"1174","Left","UNK",NA,4
"1176","Right","UNK",NA,1
"1179","Left","MaleM",NA,1
"118","Left","MaleM",NA,26
"118","Right","MaleM",NA,21
"1183","Left","UNK",NA,1
"1185","Right","UNK",NA,10
"119","Right","UNK",1989,7
"1190","Left","UNK",NA,1
"120","Left","MaleM",1989,33
"120","Right","MaleM",1989,41
"1205","Left","UNK",NA,2
"1206","Left","UNK",1997,3
"1208","Right","UNK",NA,2
"1217","Right","UNK",NA,16
"1219","Left","UNK",1997,5
"1220","Left","UNK",NA,19
"1221","Right","UNK",NA,9
"1227","Left","UNK",NA,1
"1229","Right","UNK",NA,4
"1233","Right","UNK",NA,3
"1234","Left","UNK",NA,2
"1237","Right","UNK",NA,1
"1239","Left","UNK",NA,36
"1239","Right","UNK",NA,8
"124","Left","MaleM",1989,22
"124","Right","MaleM",1989,12
"1244","Right","UNK",NA,1
"1247","Left","UNK",NA,2
"1248","Left","UNK",NA,7
"1249","Right","UNK",NA,3
"1251","Left","UNK",NA,1
"1253","Left","UNK",NA,1
"1253","Right","UNK",NA,12
"1254","Left","UNK",NA,1
"1255","Right","UNK",NA,5
